CPI_CHN,CPI_GBR,Date,CPI_CHN-1,CPI_CHN-2,CPI_CHN-3,CPI_CHN-4,CPI_CHN-5,CPI_CHN-6,CPI_CHN-7,CPI_CHN-8,CPI_CHN-12,CPI_GBR-1,CPI_GBR-2,CPI_GBR-3,CPI_GBR-4,CPI_GBR-5,CPI_GBR-6,CPI_GBR-7,CPI_GBR-8,CPI_GBR-12
87.3787372725248,90.78801331853501,200608,87.11738547802679,87.37952349142729,87.81861662719379,87.90652334972981,87.7310613145482,88.52781117791142,88.08737474949899,86.95693447501058,85.9235408190118,90.45504994450609,90.45504994450609,90.2330743618202,89.7891231964484,89.2341842397336,89.01220865704771,88.79023307436181,89.1231964483907,88.457269700333
87.815631262525,90.89900110987791,200609,87.3787372725248,87.11738547802679,87.37952349142729,87.81861662719379,87.90652334972981,87.7310613145482,88.52781117791142,88.08737474949899,86.5250055666889,90.78801331853501,90.45504994450609,90.45504994450609,90.2330743618202,89.7891231964484,89.2341842397336,89.01220865704771,88.79023307436181,88.67924528301891
87.90344648893739,91.00998890122091,200610,87.815631262525,87.3787372725248,87.11738547802679,87.37952349142729,87.81861662719379,87.90652334972981,87.7310613145482,88.52781117791142,86.87110625290991,90.89900110987791,90.78801331853501,90.45504994450609,90.45504994450609,90.2330743618202,89.7891231964484,89.2341842397336,89.01220865704771,88.79023307436181
88.1671569401429,91.23196448390681,200611,87.90344648893739,87.815631262525,87.3787372725248,87.11738547802679,87.37952349142729,87.81861662719379,87.90652334972981,87.7310613145482,86.6104929050019,91.00998890122091,90.89900110987791,90.78801331853501,90.45504994450609,90.45504994450609,90.2330743618202,89.7891231964484,89.2341842397336,88.79023307436181
89.4014971356855,91.67591564927861,200612,88.1671569401429,87.90344648893739,87.815631262525,87.3787372725248,87.11738547802679,87.37952349142729,87.81861662719379,87.90652334972981,86.95693447501058,91.23196448390681,91.00998890122091,90.89900110987791,90.78801331853501,90.45504994450609,90.45504994450609,90.2330743618202,89.7891231964484,89.1231964483907
90.0273079492318,91.1209766925638,200701,89.4014971356855,88.1671569401429,87.90344648893739,87.815631262525,87.3787372725248,87.11738547802679,87.37952349142729,87.81861662719379,88.08737474949899,91.67591564927861,91.23196448390681,91.00998890122091,90.89900110987791,90.78801331853501,90.45504994450609,90.45504994450609,90.2330743618202,88.79023307436181
90.92758041335199,91.45394006659271,200702,90.0273079492318,89.4014971356855,88.1671569401429,87.90344648893739,87.815631262525,87.3787372725248,87.11738547802679,87.37952349142729,88.52781117791142,91.1209766925638,91.67591564927861,91.23196448390681,91.00998890122091,90.89900110987791,90.78801331853501,90.45504994450609,90.45504994450609,89.01220865704771
90.6547980810105,91.8978912319645,200703,90.92758041335199,90.0273079492318,89.4014971356855,88.1671569401429,87.90344648893739,87.815631262525,87.3787372725248,87.11738547802679,87.7310613145482,91.45394006659271,91.1209766925638,91.67591564927861,91.23196448390681,91.00998890122091,90.89900110987791,90.78801331853501,90.45504994450609,89.2341842397336
90.56414323596691,92.2308546059934,200704,90.6547980810105,90.92758041335199,90.0273079492318,89.4014971356855,88.1671569401429,87.90344648893739,87.815631262525,87.3787372725248,87.90652334972981,91.8978912319645,91.45394006659271,91.1209766925638,91.67591564927861,91.23196448390681,91.00998890122091,90.89900110987791,90.78801331853501,89.7891231964484
90.8358357118277,92.4528301886792,200705,90.56414323596691,90.6547980810105,90.92758041335199,90.0273079492318,89.4014971356855,88.1671569401429,87.90344648893739,87.815631262525,87.81861662719379,92.2308546059934,91.8978912319645,91.45394006659271,91.1209766925638,91.67591564927861,91.23196448390681,91.00998890122091,90.89900110987791,90.2330743618202
91.19917896398859,92.6748057713652,200706,90.8358357118277,90.56414323596691,90.6547980810105,90.92758041335199,90.0273079492318,89.4014971356855,88.1671569401429,87.90344648893739,87.37952349142729,92.4528301886792,92.2308546059934,91.8978912319645,91.45394006659271,91.1209766925638,91.67591564927861,91.23196448390681,91.00998890122091,90.45504994450609
92.01997125564259,92.2308546059934,200707,91.19917896398859,90.8358357118277,90.56414323596691,90.6547980810105,90.92758041335199,90.0273079492318,89.4014971356855,88.1671569401429,87.11738547802679,92.6748057713652,92.4528301886792,92.2308546059934,91.8978912319645,91.45394006659271,91.1209766925638,91.67591564927861,91.23196448390681,90.45504994450609
93.1242112507844,92.56381798002221,200708,92.01997125564259,91.19917896398859,90.8358357118277,90.56414323596691,90.6547980810105,90.92758041335199,90.0273079492318,89.4014971356855,87.3787372725248,92.2308546059934,92.6748057713652,92.4528301886792,92.2308546059934,91.8978912319645,91.45394006659271,91.1209766925638,91.67591564927861,90.78801331853501
93.40358373312279,92.6748057713652,200709,93.1242112507844,92.01997125564259,91.19917896398859,90.8358357118277,90.56414323596691,90.6547980810105,90.92758041335199,90.0273079492318,87.815631262525,92.56381798002221,92.2308546059934,92.6748057713652,92.4528301886792,92.2308546059934,91.8978912319645,91.45394006659271,91.1209766925638,90.89900110987791
93.6837950648772,93.00776914539401,200710,93.40358373312279,93.1242112507844,92.01997125564259,91.19917896398859,90.8358357118277,90.56414323596691,90.6547980810105,90.92758041335199,87.90344648893739,92.6748057713652,92.56381798002221,92.2308546059934,92.6748057713652,92.4528301886792,92.2308546059934,91.8978912319645,91.45394006659271,91.00998890122091
94.3395809801421,93.34073251942291,200711,93.6837950648772,93.40358373312279,93.1242112507844,92.01997125564259,91.19917896398859,90.8358357118277,90.56414323596691,90.6547980810105,88.1671569401429,93.00776914539401,92.6748057713652,92.56381798002221,92.2308546059934,92.6748057713652,92.4528301886792,92.2308546059934,91.8978912319645,91.23196448390681
95.28297726766658,93.78468368479471,200712,94.3395809801421,93.6837950648772,93.40358373312279,93.1242112507844,92.01997125564259,91.19917896398859,90.8358357118277,90.56414323596691,89.4014971356855,93.34073251942291,93.00776914539401,92.6748057713652,92.56381798002221,92.2308546059934,92.6748057713652,92.4528301886792,92.2308546059934,91.67591564927861
96.42637274549101,93.34073251942291,200801,95.28297726766658,94.3395809801421,93.6837950648772,93.40358373312279,93.1242112507844,92.01997125564259,91.19917896398859,90.8358357118277,90.0273079492318,93.78468368479471,93.34073251942291,93.00776914539401,92.6748057713652,92.56381798002221,92.2308546059934,92.6748057713652,92.4528301886792,91.1209766925638
