PPI_CHN,PPI_GBR,Date,PPI_CHN-1,PPI_CHN-2,PPI_CHN-3,PPI_CHN-4,PPI_CHN-5,PPI_CHN-6,PPI_CHN-7,PPI_CHN-8,PPI_CHN-12,PPI_GBR-1,PPI_GBR-2,PPI_GBR-3,PPI_GBR-4,PPI_GBR-5,PPI_GBR-6,PPI_GBR-7,PPI_GBR-8,PPI_GBR-12
2.9,1.8464528668610098,200704,2.7,2.6,3.3,3.1,2.8,2.9,3.5,3.4,1.9,1.9588638589618101,1.3752455795677798,1.2795275590551398,1.78217821782179,1.38067061143985,0.8823529411764921,1.96463654223968,3.66699702675917,3.31325301204821
2.8,1.7357762777241799,200705,2.9,2.7,2.6,3.3,3.1,2.8,2.9,3.5,2.4,1.8464528668610098,1.9588638589618101,1.3752455795677798,1.2795275590551398,1.78217821782179,1.38067061143985,0.8823529411764921,1.96463654223968,4.43101711983889
2.5,2.1174205967276003,200706,2.8,2.9,2.7,2.6,3.3,3.1,2.8,2.9,3.5,1.7357762777241799,1.8464528668610098,1.9588638589618101,1.3752455795677798,1.2795275590551398,1.78217821782179,1.38067061143985,0.8823529411764921,4.212637913741241
2.4,2.01149425287355,200707,2.5,2.8,2.9,2.7,2.6,3.3,3.1,2.8,3.6,2.1174205967276003,1.7357762777241799,1.8464528668610098,1.9588638589618101,1.3752455795677798,1.2795275590551398,1.78217821782179,1.38067061143985,3.7773359840954304
2.6,1.91204588910134,200708,2.4,2.5,2.8,2.9,2.7,2.6,3.3,3.1,3.4,2.01149425287355,2.1174205967276003,1.7357762777241799,1.8464528668610098,1.9588638589618101,1.3752455795677798,1.2795275590551398,1.78217821782179,3.66699702675917
2.7,3.2755298651252502,200709,2.6,2.4,2.5,2.8,2.9,2.7,2.6,3.3,3.5,1.91204588910134,2.01149425287355,2.1174205967276003,1.7357762777241799,1.8464528668610098,1.9588638589618101,1.3752455795677798,1.2795275590551398,1.96463654223968
3.2,4.95626822157433,200710,2.7,2.6,2.4,2.5,2.8,2.9,2.7,2.6,2.9,3.2755298651252502,1.91204588910134,2.01149425287355,2.1174205967276003,1.7357762777241799,1.8464528668610098,1.9588638589618101,1.3752455795677798,0.8823529411764921
4.6,6.51750972762646,200711,3.2,2.7,2.6,2.4,2.5,2.8,2.9,2.7,2.8,4.95626822157433,3.2755298651252502,1.91204588910134,2.01149425287355,2.1174205967276003,1.7357762777241799,1.8464528668610098,1.9588638589618101,1.38067061143985
5.4,7.198443579766541,200712,4.6,3.2,2.7,2.6,2.4,2.5,2.8,2.9,3.1,6.51750972762646,4.95626822157433,3.2755298651252502,1.91204588910134,2.01149425287355,2.1174205967276003,1.7357762777241799,1.8464528668610098,1.78217821782179
6.1,8.06608357628765,200801,5.4,4.6,3.2,2.7,2.6,2.4,2.5,2.8,3.3,7.198443579766541,6.51750972762646,4.95626822157433,3.2755298651252502,1.91204588910134,2.01149425287355,2.1174205967276003,1.7357762777241799,1.2795275590551398
6.6,8.33333333333334,200802,6.1,5.4,4.6,3.2,2.7,2.6,2.4,2.5,2.6,8.06608357628765,7.198443579766541,6.51750972762646,4.95626822157433,3.2755298651252502,1.91204588910134,2.01149425287355,2.1174205967276003,1.3752455795677798
