Date,CPI_TUR,CPI_GBR,CPI_TUR-1,CPI_TUR-2,CPI_TUR-3,CPI_TUR-6,CPI_TUR-12,CPI_GBR-1,CPI_GBR-2,CPI_GBR-3,CPI_GBR-6,CPI_GBR-12
200103,26.2113140250135,82.38897617365991,24.710949429057198,24.2741519727483,23.680662095604703,21.6138474650383,19.061702327461898,82.05039134006951,81.9375297288727,82.6146993960535,82.50183778485659,81.5989448952823
200104,28.920151583424502,82.84042261844709,26.2113140250135,24.710949429057198,24.2741519727483,22.2836035647119,19.5047397474324,82.38897617365991,82.05039134006951,81.9375297288727,82.50183778485659,81.9375297288727
200105,30.3816897388201,83.5175922856278,28.920151583424502,26.2113140250135,24.710949429057198,23.110745414516,19.9373772279669,82.84042261844709,82.38897617365991,82.05039134006951,82.6146993960535,82.1632529512663
200106,31.333630861855198,83.6304538968246,30.3816897388201,28.920151583424502,26.2113140250135,23.680662095604703,20.072576440634002,83.5175922856278,82.84042261844709,82.38897617365991,82.6146993960535,82.27611456246309
200107,32.0838131598334,83.06614584084059,31.333630861855198,30.3816897388201,28.920151583424502,24.2741519727483,20.5232404828574,83.6304538968246,83.5175922856278,82.84042261844709,81.9375297288727,81.8246681176759
200108,33.026741002024,83.404730674431,32.0838131598334,31.333630861855198,30.3816897388201,24.710949429057198,20.9690512200108,83.06614584084059,83.6304538968246,83.5175922856278,82.05039134006951,81.8246681176759
200109,34.9715296765423,83.6304538968246,33.026741002024,32.0838131598334,31.333630861855198,26.2113140250135,21.6138474650383,83.404730674431,83.06614584084059,83.6304538968246,82.38897617365991,82.50183778485659
200110,37.095197309358504,83.404730674431,34.9715296765423,33.026741002024,32.0838131598334,28.920151583424502,22.2836035647119,83.6304538968246,83.404730674431,83.06614584084059,82.84042261844709,82.50183778485659
200111,38.6628148470005,83.2918690632342,37.095197309358504,34.9715296765423,33.026741002024,30.3816897388201,23.110745414516,83.404730674431,83.6304538968246,83.404730674431,83.5175922856278,82.6146993960535
200112,39.90942092072021,83.5175922856278,38.6628148470005,37.095197309358504,34.9715296765423,31.333630861855198,23.680662095604703,83.2918690632342,83.404730674431,83.6304538968246,83.6304538968246,82.6146993960535
200201,42.0323952242407,83.17900745203741,39.90942092072021,38.6628148470005,37.095197309358504,32.0838131598334,24.2741519727483,83.5175922856278,83.2918690632342,83.404730674431,83.06614584084059,81.9375297288727
200202,42.7694042656,83.2918690632342,42.0323952242407,39.90942092072021,38.6628148470005,33.026741002024,24.710949429057198,83.17900745203741,83.5175922856278,83.2918690632342,83.404730674431,82.05039134006951
200203,43.278307968664706,83.6304538968246,42.7694042656,42.0323952242407,39.90942092072021,34.9715296765423,26.2113140250135,83.2918690632342,83.17900745203741,83.5175922856278,83.6304538968246,82.38897617365991
200204,44.167849455084294,83.96903873041501,43.278307968664706,42.7694042656,42.0323952242407,37.095197309358504,28.920151583424502,83.6304538968246,83.2918690632342,83.17900745203741,83.404730674431,82.84042261844709
200205,44.4236879652081,84.19476195280859,44.167849455084294,43.278307968664706,42.7694042656,38.6628148470005,30.3816897388201,83.96903873041501,83.6304538968246,83.2918690632342,83.2918690632342,83.5175922856278
200206,44.682993121810505,84.19476195280859,44.4236879652081,44.167849455084294,43.278307968664706,39.90942092072021,31.333630861855198,84.19476195280859,83.96903873041501,83.6304538968246,83.5175922856278,83.6304538968246
200207,45.3270960375422,83.96903873041501,44.682993121810505,44.4236879652081,44.167849455084294,42.0323952242407,32.0838131598334,84.19476195280859,84.19476195280859,83.96903873041501,83.17900745203741,83.06614584084059
200208,46.31717027184239,84.19476195280859,45.3270960375422,44.682993121810505,44.4236879652081,42.7694042656,33.026741002024,83.96903873041501,84.19476195280859,84.19476195280859,83.2918690632342,83.404730674431
200209,47.9277742258196,84.4204851752022,46.31717027184239,45.3270960375422,44.682993121810505,43.278307968664706,34.9715296765423,84.19476195280859,83.96903873041501,84.19476195280859,83.6304538968246,83.6304538968246
200210,49.5030183857146,84.53334678639901,47.9277742258196,46.31717027184239,45.3270960375422,44.167849455084294,37.095197309358504,84.4204851752022,84.19476195280859,83.96903873041501,83.96903873041501,83.404730674431
