CNY,GBP,Date,CNY-1,CNY-2,CNY-3,CNY-6,CNY-12,GBP-1,GBP-2,GBP-3,GBP-6,GBP-12
8.277239999999999,0.630365370196333,200212,8.27714,8.277000000000001,8.27696,8.27705,8.276869999999999,0.6363967293786271,0.6420597245430679,0.642425758622161,0.673375597464352,0.693669387909886
8.276810000000001,0.6178942535438771,200301,8.277239999999999,8.27714,8.277000000000001,8.2768,8.276660000000001,0.630365370196333,0.6363967293786271,0.6420597245430679,0.642369831032046,0.6984069437571471
8.27726,0.622041762524343,200302,8.276810000000001,8.277239999999999,8.27714,8.2767,8.27667,0.6178942535438771,0.630365370196333,0.6363967293786271,0.650471811671364,0.702448419578316
8.27722,0.631704720669103,200303,8.27726,8.276810000000001,8.277239999999999,8.27696,8.27708,0.622041762524343,0.6178942535438771,0.630365370196333,0.642425758622161,0.7024983235274901
8.27713,0.634901450416223,200304,8.27722,8.27726,8.276810000000001,8.277000000000001,8.2772,0.631704720669103,0.622041762524343,0.6178942535438771,0.6420597245430679,0.692691020073323
8.27691,0.616385258933644,200305,8.27713,8.27722,8.27726,8.27714,8.27699,0.634901450416223,0.631704720669103,0.622041762524343,0.6363967293786271,0.684997868577231
8.27707,0.602220489584985,200306,8.27691,8.27713,8.27722,8.277239999999999,8.27705,0.616385258933644,0.634901450416223,0.631704720669103,0.630365370196333,0.673375597464352
8.27722,0.616165309071559,200307,8.27707,8.27691,8.27713,8.276810000000001,8.2768,0.602220489584985,0.616385258933644,0.634901450416223,0.6178942535438771,0.642369831032046
8.27701,0.627493431444005,200308,8.27722,8.27707,8.27691,8.27726,8.2767,0.616165309071559,0.602220489584985,0.616385258933644,0.622041762524343,0.650471811671364
8.27712,0.6198700453339101,200309,8.27701,8.27722,8.27707,8.27722,8.27696,0.627493431444005,0.616165309071559,0.602220489584985,0.631704720669103,0.642425758622161
8.27678,0.595976322374027,200310,8.27712,8.27701,8.27722,8.27713,8.277000000000001,0.6198700453339101,0.627493431444005,0.616165309071559,0.634901450416223,0.6420597245430679
8.27691,0.591717061095713,200311,8.27678,8.27712,8.27701,8.27691,8.27714,0.595976322374027,0.6198700453339101,0.627493431444005,0.616385258933644,0.6363967293786271
8.277000000000001,0.570976102571058,200312,8.27691,8.27678,8.27712,8.27707,8.277239999999999,0.591717061095713,0.595976322374027,0.6198700453339101,0.602220489584985,0.630365370196333
