Importers	Exported value in 2006-M04	Exported value in 2006-M05	Exported value in 2006-M06	Exported value in 2006-M07	Exported value in 2006-M08	Exported value in 2006-M09	Exported value in 2006-M10	Exported value in 2006-M11	Exported value in 2006-M12	Exported value in 2007-M01	Exported value in 2007-M02	Exported value in 2007-M03	Exported value in 2007-M04	Exported value in 2007-M05	Exported value in 2007-M06	Exported value in 2007-M07	Exported value in 2007-M08	Exported value in 2007-M09	Exported value in 2007-M10	Exported value in 2007-M11	
"Hungary"	361	342	526	441	380	314	605	520	340	424	230	165	237	297	465	283	434	164	562	460	
"Korea, Republic of"	87	330	214	107	195	110	125	92	219	22	83	91	151	69	280	236	511	408	42	433	
"Portugal"	417	879	744	473	483	533	246	579	433	450	380	651	127	294	271	269	500	347	204	418	
"Thailand"	192	155	168	140	342	34	289	375	133	0	0	86	270	14	233	130	158	144	402	417	
"Uruguay"	0	15	32	0	1	14	248	82	0	0	48	0	184	63	89	43	176	349	193	403	
"Iraq"	517	750	31	337	0	169	58	122	644	515	347	361	2780	2561	2334	862	213	26	501	388	
"Pakistan"	0	73	0	0	6	0	0	62	17	72	151	0	193	144	575	394	205	117	281	386	
"Iran, Islamic Republic of"	325	124	262	66	229	230	266	130	220	552	374	141	71	111	322	227	729	405	321	380	
"Venezuela, Bolivarian Republic of"	0	383	82	102	285	227	525	148	34	135	147	305	102	82	893	110	791	106	209	323	
"New Zealand"	115	63	22	86	90	124	138	307	247	189	170	36	188	125	197	124	389	257	204	289	
"Romania"	23	25	0	41	21	92	10	150	42	26	19	44	94	196	106	258	113	54	272	259	
"Indonesia"	171	168	70	100	108	291	192	44	86	105	108	178	121	175	172	164	327	39	273	254	
"Israel"	77	52	75	77	0	28	57	45	40	27	67	2	36	1	109	1	140	18	195	253	
"Viet Nam"	97	191	166	16	21	79	2	57	66	202	208	124	444	87	323	57	201	97	122	235	
"Lithuania"	0	0	0	0	0	0	0	254	0	0	0	0	318	58	61	251	87	0	123	222	
"Mongolia"	123	14	112	54	58	83	50	74	56	67	53	57	131	135	222	67	195	140	181	222	
"Mexico"	74	0	6	64	0	27	257	0	0	0	0	0	1	1	0	1	31	194	60	219	
"Norway"	13	238	51	48	183	27	119	151	152	59	73	67	0	155	206	409	235	182	96	175	
"Gabon"	24	10	47	24	13	73	0	135	0	91	12	133	30	17	39	66	165	14	0	168	
"Ireland"	61	61	29	0	97	39	0	0	0	40	0	40	75	0	0	0	51	21	180	166	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	0	37	232	0	107	45	40	156	
"Georgia"	75	53	20	95	116	0	0	34	34	50	115	0	84	123	53	168	100	200	67	147	
"Argentina"	0	14	0	0	14	0	0	0	14	0	0	0	0	0	1	0	0	0	0	136	
"Papua New Guinea"	60	56	98	32	86	68	0	52	68	0	0	0	16	70	0	148	17	0	161	131	
"India"	181	149	16	45	292	127	41	126	0	5	125	144	144	84	109	49	465	155	69	130	
"Philippines"	288	29	80	16	120	154	64	129	307	202	141	234	199	210	167	193	360	485	342	122	
"Mauritius"	58	8	0	8	86	35	133	88	34	14	44	144	12	44	62	100	287	151	130	120	
"Kuwait"	508	141	203	44	113	339	409	390	218	77	208	98	369	247	361	436	185	42	424	116	
"Greece"	368	751	467	354	528	263	678	442	315	84	300	258	813	706	624	292	50	191	381	115	
"Ghana"	80	0	81	76	49	126	86	58	21	104	137	29	167	166	209	145	171	177	51	113	
"Algeria"	0	216	294	0	0	287	112	468	0	51	0	127	79	0	56	42	0	411	0	112	
"Kyrgyzstan"	0	26	67	91	0	0	10	0	21	0	0	0	49	27	29	142	0	40	53	108	
"Oman"	135	118	57	65	19	60	0	0	89	8	0	109	92	64	122	46	147	243	108	107	
"Kenya"	43	58	22	45	80	11	96	79	60	51	119	45	56	101	188	132	192	102	151	97	
"Namibia"	79	0	0	17	130	52	19	0	0	44	14	88	74	0	0	192	23	19	77	78	
"Haiti"	0	0	27	0	0	0	15	7	19	46	44	55	0	0	0	0	0	121	54	77	
"Tanzania, United Republic of"	0	31	5	48	36	33	53	28	17	48	0	27	84	26	42	1	46	36	35	75	
"Denmark"	81	45	23	11	192	152	55	21	33	90	62	43	11	84	52	21	59	48	161	69	
"Bulgaria"	260	141	256	134	329	270	309	0	381	131	84	402	35	88	107	356	93	333	212	69	
"Ethiopia"	79	0	0	0	97	57	0	0	211	17	35	12	0	0	0	158	73	59	174	61	
"Serbia"	0	0	0	0	0	0	0	0	0	65	74	49	0	76	0	69	0	20	0	60	
"Macao, China"	0	0	3	0	0	0	0	0	0	0	57	57	22	0	0	0	0	5	26	54	
"Chile"	0	246	0	94	32	251	67	54	67	75	16	49	68	129	49	235	2	58	186	53	
"Sri Lanka"	0	17	1	3	48	30	8	18	22	13	33	3	0	0	6	19	0	52	18	48	
"Croatia"	103	72	94	21	41	39	21	82	40	21	76	127	78	20	0	41	0	64	51	48	
"Seychelles"	0	0	24	46	0	0	0	0	26	0	0	14	0	60	0	0	0	0	0	48	
"Sudan (before 2012)"	5	0	67	0	0	85	225	0	38	13	0	3	0	0	85	176	164	20	3	48	
"Cyprus"	69	53	116	85	25	33	50	55	61	154	27	77	60	72	14	96	94	85	45	47	
"Senegal"	0	0	0	0	30	0	1	0	0	0	18	0	18	34	12	0	17	43	17	46	
"Myanmar"	74	11	0	0	21	10	93	128	21	94	70	91	36	100	131	4	24	0	110	44	
"Slovenia"	23	19	20	42	133	38	5	0	22	20	21	19	124	24	43	45	0	46	39	42	
"Uzbekistan"	33	81	74	163	20	0	9	33	49	0	72	37	14	27	88	75	231	14	109	42	
"Malta"	0	0	0	11	17	0	13	0	0	0	0	0	13	0	4	0	48	0	40	41	
"Lebanon"	142	15	20	19	0	0	81	0	84	0	15	127	18	0	21	109	35	22	0	39	
"Czech Republic"	82	112	498	591	199	214	217	137	171	144	138	185	234	64	34	99	128	155	74	38	
"Cabo Verde"	0	18	17	22	0	0	0	50	15	0	13	0	50	19	0	42	0	0	0	36	
"Dominican Republic"	0	85	57	49	28	0	72	30	16	101	12	0	0	39	32	39	77	27	18	34	
"Maldives"	0	20	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	30	
"Turkey"	198	160	0	105	16	41	16	87	42	47	0	322	0	182	109	112	104	0	0	30	
"Grenada"	13	0	0	0	0	14	4	14	0	44	1	0	0	0	0	0	0	15	0	29	
"Congo"	32	12	66	66	40	27	20	135	56	0	25	25	27	0	30	164	71	0	76	27	
"Bahrain"	13	31	35	13	29	0	25	26	30	46	112	40	93	1	55	0	80	36	0	27	
"Zambia"	0	21	22	15	25	24	0	0	0	0	0	0	0	0	0	0	48	39	0	25	
"Taipei, Chinese"	60	40	26	0	0	87	0	0	20	0	46	13	76	11	26	0	81	27	125	22	
"Cameroon"	17	0	0	17	0	17	0	35	8	15	28	31	0	0	37	0	31	22	0	21	
"Albania"	0	0	0	0	0	0	0	0	0	0	0	14	56	3	18	0	0	13	0	20	
"Macedonia, The Former Yugoslav Republic of"	16	36	17	17	0	17	21	21	32	52	14	51	18	52	19	54	32	0	38	19	
"Chad"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
"Korea, Democratic People's Republic of"	39	31	174	48	37	52	2	34	33	8	18	26	79	169	234	269	313	159	112	17	
"Slovakia"	0	0	0	0	71	157	72	49	16	52	0	49	0	0	5	0	70	49	58	17	
"Tonga"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
"Africa not elsewhere specified"	0	0	0	0	0	0	0	0	0	15	56	42	0	15	0	14	14	0	0	14	
"Mayotte"	13	0	16	0	0	5	0	39	59	13	0	42	0	29	12	50	47	78	20	14	
"Brunei Darussalam"	0	14	13	51	9	0	27	15	11	35	0	0	0	34	20	15	64	26	41	11	
"Suriname"	28	14	23	65	27	38	54	14	0	14	55	0	120	0	14	53	0	71	0	11	
"Egypt"	16	0	0	44	0	44	16	0	51	64	20	0	49	0	59	0	0	0	73	11	
"Libya, State of"	54	89	293	15	0	0	0	0	8	0	0	47	1	12	52	0	60	26	61	4	
"Tajikistan"	80	203	12	57	109	0	0	0	0	0	0	0	242	176	57	0	18	0	0	3	
"Fiji"	0	13	0	6	0	29	40	14	47	3	0	0	0	0	41	0	0	15	19	2	
"Solomon Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Cambodia"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	17	17	0	0	0	0	29	0	8	0	0	0	0	0	0	0	0	
"Costa Rica"	0	12	0	0	0	0	0	16	0	0	1	0	0	0	0	37	0	0	0	0	
"China"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Colombia"	0	0	36	0	29	14	16	0	43	28	0	0	0	0	23	0	17	365	399	0	
"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	
"Afghanistan"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Azerbaijan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	
"Austria"	0	0	25	22	28	47	89	33	10	96	27	125	57	18	57	0	0	46	0	0	
"Armenia"	0	17	0	0	29	0	34	17	0	0	0	0	0	48	0	0	49	30	0	0	
"Barbados"	0	0	0	0	0	0	0	0	0	16	0	14	0	0	0	0	0	0	0	0	
"Belize"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	18	0	32	0	0	
"French Polynesia"	22	42	0	0	22	17	0	14	0	82	13	28	0	19	0	0	0	25	0	0	
"Djibouti"	65	113	67	216	135	0	329	111	67	67	195	0	91	34	171	343	0	15	0	0	
"Estonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	
"Dominica"	0	0	11	32	0	46	69	0	0	0	0	0	0	0	0	0	35	46	0	0	
"Ecuador"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	
"El Salvador"	0	0	0	0	0	0	40	0	13	1	0	17	0	0	34	0	13	30	13	0	
"Equatorial Guinea"	0	0	31	23	36	2	0	0	0	49	0	0	0	16	0	0	49	16	1	0	
"Benin"	11	145	151	70	252	56	44	72	84	16	86	0	104	67	1	0	0	13	16	0	
"Guatemala"	25	0	27	42	40	0	64	27	0	31	17	14	0	0	0	0	130	82	196	0	
"Guinea"	0	0	0	0	0	13	0	0	0	18	0	0	0	0	0	0	0	0	13	0	
"Guyana"	0	17	0	0	0	0	0	0	0	14	0	0	0	27	0	0	0	0	31	0	
"Honduras"	13	0	14	13	28	0	30	44	14	0	17	0	0	0	0	0	27	0	35	0	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	
"Liberia"	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	0	0	0	
"Lao People's Democratic Republic"	0	0	0	0	7	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	
"Jordan"	841	62	602	903	50	226	199	55	255	605	4423	1135	37	248	277	165	30	478	79	0	
"Côte d'Ivoire"	38	0	13	70	8	14	21	12	0	48	10	96	46	0	50	25	37	63	22	0	
"Jamaica"	13	119	15	0	0	16	18	59	88	0	0	0	0	0	0	0	171	46	0	0	
"Nepal"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Oceania Nes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	
"Mali"	0	0	0	29	1	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	
"Mauritania"	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	18	0	0	
"Madagascar"	0	0	21	0	0	0	0	14	0	0	30	31	0	0	0	0	0	39	12	0	
"Malawi"	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Sierra Leone"	0	0	0	2	15	0	0	0	14	13	0	0	0	36	0	0	9	0	0	0	
"Qatar"	13	17	18	58	60	65	80	50	12	41	71	0	83	0	68	0	0	36	63	0	
"Saint Lucia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	
"Saint Vincent and the Grenadines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	
"Peru"	0	97	34	0	0	20	35	0	79	0	109	95	127	65	150	241	81	58	0	0	
"Nicaragua"	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mozambique"	116	61	0	18	15	0	13	0	0	110	0	0	50	0	93	0	20	0	17	0	
"Netherlands Antilles"	0	0	29	13	0	46	0	4	0	30	0	0	0	0	0	0	0	0	17	0	
"Aruba"	0	2	0	10	0	0	14	14	0	18	30	0	0	0	0	0	0	0	17	0	
"New Caledonia"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
"Serbia and Montenegro"	36	0	0	0	41	2	71	105	101	0	0	0	0	0	0	0	0	0	0	0	
"Turkmenistan"	56	0	0	14	29	0	0	0	0	0	0	0	13	0	0	36	18	0	0	0	
"Trinidad and Tobago"	0	0	0	0	0	24	0	0	0	0	15	0	0	15	0	0	28	84	1	0	
"Togo"	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	
"Switzerland"	0	0	0	23	0	0	0	59	18	0	0	0	0	0	0	0	0	0	0	0	
"Syrian Arab Republic"	0	0	0	0	0	2	0	0	50	0	2	8	0	0	0	0	24	25	0	0	
