Importers	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	
"Austria"	12	0	0	0	0	0	0	0	47	0	0	0	88	27	0	50	0	3	39	15	
"Belize"	42	3	0	0	0	30	24	0	0	0	33	18	0	0	32	0	20	0	0	15	
"Liberia"	1	1	1	14	0	16	0	32	13	24	25	16	18	27	36	11	15	0	8	15	
"French Polynesia"	15	39	31	16	68	15	80	44	42	25	22	85	41	14	62	31	44	19	0	13	
"Equatorial Guinea"	5	7	0	0	0	58	0	0	0	27	5	14	39	12	11	0	0	13	24	13	
"Cambodia"	0	0	16	65	16	22	1	94	0	32	39	14	52	0	52	88	1	263	68	12	
"Armenia"	352	196	148	166	112	0	118	203	386	654	67	171	167	282	135	194	281	35	38	11	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	12	0	0	11	
"Sao Tome and Principe"	17	0	0	0	0	0	0	0	0	0	6	0	1	0	0	25	4	0	0	4	
"Macao, China"	2	7	3	3	5	3	28	4	6	3	11	3	6	4	4	4	4	4	14	3	
"Comoros"	0	19	0	0	0	1	0	0	3	23	4	9	2	3	3	8	2	20	12	3	
"Congo, Democratic Republic of the"	59	28	2	12	2	21	0	18	3	73	34	48	17	60	3	94	78	17	41	3	
"Guinea"	7	4	12	1	39	41	21	3	3	60	5	40	17	74	34	18	46	14	5	2	
"Solomon Islands"	6	0	0	0	0	0	0	0	0	2	9	0	0	0	0	1	0	9	0	2	
"Samoa"	0	8	0	0	0	14	0	0	15	0	23	0	9	2	5	29	0	11	0	2	
"Zambia"	0	1	4	4	0	37	0	24	6	0	2	26	34	148	27	111	23	104	50	1	
"Venezuela, Bolivarian Republic of"	2473	158	1737	4344	242	4453	2190	1012	758	886	1079	58	4713	2621	392	2965	723	39	24	0	
"Wallis and Futuna Islands"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Burkina Faso"	90	14	36	15	13	13	17	0	0	23	0	30	114	0	39	0	0	17	0	0	
"Macedonia, The Former Yugoslav Republic of"	17	0	245	0	0	0	0	19	17	3	16	0	2	0	10	16	0	19	0	0	
"Turkmenistan"	31	34	110	98	284	139	130	24	176	384	219	155	13	55	56	139	122	59	40	0	
"Seychelles"	0	0	0	17	0	13	15	0	0	18	11	12	11	1	0	0	19	0	13	0	
"Sierra Leone"	4	13	0	0	18	0	13	0	15	56	0	42	7	11	1	1	0	2	2	0	
"Rwanda"	30	0	31	25	11	23	0	0	32	0	1	13	33	0	24	36	0	56	0	0	
"Saint Lucia"	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	32	0	0	0	0	
"Saint Vincent and the Grenadines"	0	0	0	0	0	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	
"Tonga"	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	
