"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-04","Apr-2005","IDX","Index","0","Units","2010_100","2010=100",64.8150224215246,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-05","May-2005","IDX","Index","0","Units","2010_100","2010=100",65.4091928251121,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-06","Jun-2005","IDX","Index","0","Units","2010_100","2010=100",65.4764573991032,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-07","Jul-2005","IDX","Index","0","Units","2010_100","2010=100",65.1008968609865,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-08","Aug-2005","IDX","Index","0","Units","2010_100","2010=100",65.6558295964126,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-09","Sep-2005","IDX","Index","0","Units","2010_100","2010=100",66.3284753363229,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-10","Oct-2005","IDX","Index","0","Units","2010_100","2010=100",67.5168161434978,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-11","Nov-2005","IDX","Index","0","Units","2010_100","2010=100",68.4641255605381,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2005-12","Dec-2005","IDX","Index","0","Units","2010_100","2010=100",68.75,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2006-01","Jan-2006","IDX","Index","0","Units","2010_100","2010=100",69.2656950672646,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2006-02","Feb-2006","IDX","Index","0","Units","2010_100","2010=100",69.4170403587444,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2006-03","Mar-2006","IDX","Index","0","Units","2010_100","2010=100",69.6076233183856,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2006-04","Apr-2006","IDX","Index","0","Units","2010_100","2010=100",70.5381165919282,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2006-05","May-2006","IDX","Index","0","Units","2010_100","2010=100",71.8609865470852,,
