"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-07","Jul-2008","PC","Percentage","0","Units",,,18.732132647227,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-08","Aug-2008","PC","Percentage","0","Units",,,14.3222506393862,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-09","Sep-2008","PC","Percentage","0","Units",,,12.6782436820556,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-10","Oct-2008","PC","Percentage","0","Units",,,12.5026443833298,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-11","Nov-2008","PC","Percentage","0","Units",,,10.6500209234203,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2008-12","Dec-2008","PC","Percentage","0","Units",,,6.35628659046557,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-01","Jan-2009","PC","Percentage","0","Units",,,6.31402885218482,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-02","Feb-2009","PC","Percentage","0","Units",,,4.95063082830499,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-03","Mar-2009","PC","Percentage","0","Units",,,1.12752208888304,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-04","Apr-2009","PC","Percentage","0","Units",,,-3.15485168426347,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-05","May-2009","PC","Percentage","0","Units",,,-5.00308451573103,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-06","Jun-2009","PC","Percentage","0","Units",,,-4.95073592020435,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-07","Jul-2009","PC","Percentage","0","Units",,,-6.28423523746463,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-08","Aug-2009","PC","Percentage","0","Units",,,-2.37385036042754,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-09","Sep-2009","PC","Percentage","0","Units",,,-0.939731863175038,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-10","Oct-2009","PC","Percentage","0","Units",,,-0.727090384856452,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-11","Nov-2009","PC","Percentage","0","Units",,,0.90135518436811,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2009-12","Dec-2009","PC","Percentage","0","Units",,,5.19659239842726,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-01","Jan-2010","PC","Percentage","0","Units",,,5.46050475254014,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-02","Feb-2010","PC","Percentage","0","Units",,,5.52071083235332,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-03","Mar-2010","PC","Percentage","0","Units",,,7.32216209167371,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-04","Apr-2010","PC","Percentage","0","Units",,,7.79364049318626,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-05","May-2010","PC","Percentage","0","Units",,,7.53295668549908,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-06","Jun-2010","PC","Percentage","0","Units",,,5.43255694906579,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-07","Jul-2010","PC","Percentage","0","Units",,,6.05048493801788,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-08","Aug-2010","PC","Percentage","0","Units",,,5.33418204964989,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-09","Sep-2010","PC","Percentage","0","Units",,,5.2365292183152,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-10","Oct-2010","PC","Percentage","0","Units",,,5.15216567748451,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-11","Nov-2010","PC","Percentage","0","Units",,,4.86631684157921,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2010-12","Dec-2010","PC","Percentage","0","Units",,,6.62181523702735,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-01","Jan-2011","PC","Percentage","0","Units",,,8.89482844356043,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-02","Feb-2011","PC","Percentage","0","Units",,,10.9838400099065,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-03","Mar-2011","PC","Percentage","0","Units",,,10.5103280680438,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-04","Apr-2011","PC","Percentage","0","Units",,,9.65023177412556,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-05","May-2011","PC","Percentage","0","Units",,,11.2687964249049,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-06","Jun-2011","PC","Percentage","0","Units",,,12.5811737573587,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-07","Jul-2011","PC","Percentage","0","Units",,,13.8513718127309,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-08","Aug-2011","PC","Percentage","0","Units",,,15.856901136089,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-09","Sep-2011","PC","Percentage","0","Units",,,17.0252403846154,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-10","Oct-2011","PC","Percentage","0","Units",,,17.9296265161523,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-11","Nov-2011","PC","Percentage","0","Units",,,16.4055519151724,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2011-12","Dec-2011","PC","Percentage","0","Units",,,14.5886889460154,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2012-01","Jan-2012","PC","Percentage","0","Units",,,12.0783149723158,,
