"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2003-12","Dec-2003","IDX","Index","0","Units",,,100.0983,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-01","Jan-2004","IDX","Index","0","Units",,,99.45903,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-02","Feb-2004","IDX","Index","0","Units",,,100.7099,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-03","Mar-2004","IDX","Index","0","Units",,,101.1198,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-04","Apr-2004","IDX","Index","0","Units",,,101.1009,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-05","May-2004","IDX","Index","0","Units",,,99.73197,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-06","Jun-2004","IDX","Index","0","Units",,,97.0039,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-07","Jul-2004","IDX","Index","0","Units",,,96.4606,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-08","Aug-2004","IDX","Index","0","Units",,,98.70944,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-09","Sep-2004","IDX","Index","0","Units",,,101.3857,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-10","Oct-2004","IDX","Index","0","Units",,,101.3934,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-11","Nov-2004","IDX","Index","0","Units",,,99.80009,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2004-12","Dec-2004","IDX","Index","0","Units",,,98.98485,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-01","Jan-2005","IDX","Index","0","Units",,,98.95572,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-02","Feb-2005","IDX","Index","0","Units",,,98.74213,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-03","Mar-2005","IDX","Index","0","Units",,,98.6899,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-04","Apr-2005","IDX","Index","0","Units",,,98.27003,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-05","May-2005","IDX","Index","0","Units",,,98.65323,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-06","Jun-2005","IDX","Index","0","Units",,,98.96042,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-07","Jul-2005","IDX","Index","0","Units",,,99.54095,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-08","Aug-2005","IDX","Index","0","Units",,,100.7254,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-09","Sep-2005","IDX","Index","0","Units",,,100.7498,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-10","Oct-2005","IDX","Index","0","Units",,,99.36698,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2005-11","Nov-2005","IDX","Index","0","Units",,,99.24718,,
